"","wellplateindex","hours","replicateindex","sex","treatment","replicate","deathstatus"
"1","a.01.1",40,"m.f.1","male","fasted","1",2
"2","a.01.2",102,"f.f.3","female","fasted","3",2
"3","a.02.2",72,"f.f.3","female","fasted","3",2
"4","a.03.1",74,"m.f.1","male","fasted","1",2
"5","a.03.2",29,"m.c.1","male","control","1",2
"6","a.04.1",43,"m.f.1","male","fasted","1",2
"7","a.04.2",41,"m.c.2","male","control","2",2
"8","a.05.1",74,"m.f.1","male","fasted","1",2
"9","a.05.2",34,"m.c.2","male","control","2",2
"10","a.06.1",50,"m.f.1","male","fasted","1",2
"11","a.06.2",27,"m.c.2","male","control","2",2
"12","a.07.1",48,"m.f.1","male","fasted","1",2
"13","a.08.1",30,"m.f.1","male","fasted","1",2
"14","a.08.2",115,"m.c.2","male","control","2",2
"15","a.09.1",46,"m.f.1","male","fasted","1",2
"16","a.09.2",47,"m.c.2","male","control","2",2
"17","a.10.1",74,"m.f.1","male","fasted","1",2
"18","a.10.2",43,"m.c.2","male","control","2",2
"19","a.11.1",40,"m.f.1","male","fasted","1",2
"20","a.11.2",41,"m.c.2","male","control","2",2
"21","a.12.1",50,"m.f.1","male","fasted","1",2
"22","a.12.2",30,"m.c.2","male","control","2",2
"23","b.01.1",42,"m.f.2","male","fasted","2",2
"24","b.01.2",45,"m.c.2","male","control","2",2
"25","b.02.1",42,"m.f.2","male","fasted","2",2
"26","b.02.2",25,"m.c.3","male","control","3",2
"27","b.03.1",32,"m.f.2","male","fasted","2",2
"28","b.03.2",36,"m.c.3","male","control","3",2
"29","b.04.1",41,"m.f.2","male","fasted","2",2
"30","b.04.2",34,"m.c.3","male","control","3",2
"31","b.05.1",47,"m.f.2","male","fasted","2",2
"32","b.05.2",14,"m.c.3","male","control","3",2
"33","b.06.1",50,"m.f.2","male","fasted","2",2
"34","b.06.2",32,"m.c.3","male","control","3",2
"35","b.07.1",42,"m.f.2","male","fasted","2",2
"36","b.07.2",39,"m.c.3","male","control","3",2
"37","b.08.1",23,"m.f.2","male","fasted","2",2
"38","b.08.2",39,"m.c.3","male","control","3",2
"39","b.09.1",43,"m.f.2","male","fasted","2",2
"40","b.09.2",30,"m.c.3","male","control","3",2
"41","b.10.1",55,"m.f.2","male","fasted","2",2
"42","b.10.2",39,"m.c.3","male","control","3",2
"43","b.11.1",52,"m.f.2","male","fasted","2",2
"44","b.11.2",35,"m.c.3","male","control","3",2
"45","b.12.1",56,"m.f.2","male","fasted","2",2
"46","b.12.2",34,"m.c.3","male","control","3",2
"47","c.01.1",45,"m.f.2","male","fasted","2",2
"48","c.01.2",30,"m.c.3","male","control","3",2
"49","c.02.2",21,"m.c.3","male","control","3",2
"50","c.03.1",51,"m.f.3","male","fasted","3",2
"51","c.03.2",28,"f.c.1","female","control","1",2
"52","c.04.1",45,"m.f.3","male","fasted","3",2
"53","c.04.2",41,"f.c.1","female","control","1",2
"54","c.05.1",40,"m.f.3","male","fasted","3",2
"55","c.05.2",13,"f.c.1","female","control","1",2
"56","c.06.1",30,"m.f.3","male","fasted","3",2
"57","c.06.2",47,"f.c.1","female","control","1",2
"58","c.07.1",35,"m.f.3","male","fasted","3",2
"59","c.08.1",35,"m.f.3","male","fasted","3",2
"60","c.08.2",24,"f.c.1","female","control","1",2
"61","c.09.1",47,"m.f.3","male","fasted","3",2
"62","c.09.2",55,"f.c.1","female","control","1",2
"63","c.10.1",27,"m.f.3","male","fasted","3",2
"64","c.10.2",52,"f.c.1","female","control","1",2
"65","c.11.1",25,"m.f.3","male","fasted","3",2
"66","c.12.1",76,"m.f.3","male","fasted","3",2
"67","c.12.2",49,"f.c.1","female","control","1",2
"68","d.01.2",39,"f.c.1","female","control","1",2
"69","d.02.2",9,"f.c.1","female","control","1",2
"70","d.03.1",40,"m.f.3","male","fasted","3",2
"71","d.03.2",49,"f.c.2","female","control","2",2
"72","d.04.1",35,"m.f.3","male","fasted","3",2
"73","d.04.2",64,"f.c.2","female","control","2",2
"74","d.05.1",45,"m.f.3","male","fasted","3",2
"75","d.05.2",55,"f.c.2","female","control","2",2
"76","d.06.1",46,"m.f.3","male","fasted","3",2
"77","d.06.2",51,"f.c.2","female","control","2",2
"78","d.07.1",85,"m.f.3","male","fasted","3",2
"79","d.07.2",51,"f.c.2","female","control","2",2
"80","d.08.1",74,"m.f.3","male","fasted","3",2
"81","d.08.2",93,"f.c.2","female","control","2",2
"82","d.09.1",34,"m.f.4","male","fasted","4",2
"83","d.09.2",38,"f.c.2","female","control","2",2
"84","d.10.1",21,"m.f.4","male","fasted","4",2
"85","d.10.2",48,"f.c.2","female","control","2",2
"86","d.11.1",27,"m.f.4","male","fasted","4",2
"87","d.11.2",49,"f.c.2","female","control","2",2
"88","d.12.1",33,"m.f.4","male","fasted","4",2
"89","d.12.2",3,"f.c.2","female","control","2",2
"90","e.01.1",27,"m.f.4","male","fasted","4",2
"91","e.02.1",73,"f.f.1","female","fasted","1",2
"92","e.03.1",59,"f.f.1","female","fasted","1",2
"93","e.03.2",25,"f.c.3","female","control","3",2
"94","e.05.1",78,"f.f.1","female","fasted","1",2
"95","e.06.1",62,"f.f.1","female","fasted","1",2
"96","e.07.1",36,"f.f.1","female","fasted","1",2
"97","e.08.1",74,"f.f.1","female","fasted","1",2
"98","e.09.1",92,"f.f.1","female","fasted","1",2
"99","e.10.1",66,"f.f.1","female","fasted","1",2
"100","e.11.1",65,"f.f.1","female","fasted","1",2
"101","e.12.1",74,"f.f.1","female","fasted","1",2
"102","f.01.1",68,"f.f.1","female","fasted","1",2
"103","f.02.1",99,"f.f.2","female","fasted","2",2
"104","f.03.1",52,"f.f.2","female","fasted","2",2
"105","f.04.1",54,"f.f.2","female","fasted","2",2
"106","f.05.1",89,"f.f.2","female","fasted","2",2
"107","f.06.1",65,"f.f.2","female","fasted","2",2
"108","f.07.1",71,"f.f.2","female","fasted","2",2
"109","f.08.1",71,"f.f.2","female","fasted","2",2
"110","f.09.1",55,"f.f.2","female","fasted","2",2
"111","f.10.1",64,"f.f.2","female","fasted","2",2
"112","f.11.1",93,"f.f.2","female","fasted","2",2
"113","f.12.1",98,"f.f.2","female","fasted","2",2
"114","g.01.1",32,"f.f.2","female","fasted","2",2
"115","g.02.1",96,"f.f.2","female","fasted","2",2
"116","g.03.1",97,"f.f.2","female","fasted","2",2
"117","g.04.1",61,"f.f.2","female","fasted","2",2
"118","g.05.1",100,"f.f.2","female","fasted","2",2
"119","g.06.1",9,"f.f.2","female","fasted","2",2
"120","g.07.1",77,"f.f.2","female","fasted","2",2
"121","g.08.1",71,"f.f.2","female","fasted","2",2
"122","g.09.1",69,"f.f.2","female","fasted","2",2
"123","g.10.1",62,"f.f.2","female","fasted","2",2
"124","g.11.1",104,"f.f.3","female","fasted","3",2
"125","g.12.1",71,"f.f.3","female","fasted","3",2
"126","h.01.1",100,"f.f.3","female","fasted","3",2
"127","h.02.1",54,"f.f.3","female","fasted","3",2
"128","h.03.1",79,"f.f.3","female","fasted","3",2
"129","h.05.1",68,"f.f.3","female","fasted","3",2
"130","h.06.1",53,"f.f.3","female","fasted","3",2
"131","h.07.1",51,"f.f.3","female","fasted","3",2
"132","h.08.1",25,"f.f.3","female","fasted","3",2
"133","h.09.1",55,"f.f.3","female","fasted","3",2
"134","h.10.1",74,"f.f.3","female","fasted","3",2
"135","h.11.1",89,"f.f.3","female","fasted","3",2
"136","h.12.1",68,"f.f.3","female","fasted","3",2
